ref,tipping_point_c_t,attribute,value,type,magnitude,harmonized_ref
Amato_2012.csv_traj10,0.1547630402384501, change,informal_institution,empirical,,Amato_2012.csv
Amato_2012.csv_traj10,0.1547630402384501, spelling ,behavior_behaviour,empirical,0.9,Amato_2012.csv
Amato_2012.csv_traj2,0.3160946304870607, change,unregulated,empirical,,Amato_2012.csv
Amato_2012.csv_traj2,0.3160946304870607, spelling ,rubbish_garbage,empirical,0.76,Amato_2012.csv
Amato_2012.csv_traj4,0.4521960207219172, change,formal_institution,empirical,,Amato_2012.csv
Amato_2012.csv_traj4,0.4521960207219172, spelling ,quando_cuando,empirical,0.98,Amato_2012.csv
Amato_2012.csv_traj6,0.3610871828003302, change,unregulated,empirical,,Amato_2012.csv
Amato_2012.csv_traj6,0.3610871828003302, spelling ,se_ra,empirical,0.8,Amato_2012.csv
Amato_2012.csv_traj8,0.1800796812749003, change,informal_institution,empirical,,Amato_2012.csv
Amato_2012.csv_traj8,0.1800796812749003, spelling ,centre_center,empirical,0.85,Amato_2012.csv
Andreoni_2021,0.43,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.43,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.23,,,empirical,0.97,Andreoni_2021
Andreoni_2021,0.23,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.23,,,empirical,0.96,Andreoni_2021
Andreoni_2021,0.23,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.23,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.4,,,empirical,0.99,Andreoni_2021
Andreoni_2021,0.4,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.4,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Andreoni_2021,0.3,,,empirical,1.0,Andreoni_2021
Castilla_Rho_et_al_2017,0.4,location,Murray_Darling_Basin_Australia,modelling,0.9,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.2,location,Murray_Darling_Basin_Australia,modelling,0.9,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.1,location,Murray_Darling_Basin_Australia,modelling,0.6,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.0,location,Murray_Darling_Basin_Australia,modelling,0.2,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.4,location,Central_valley_USA,modelling,0.8,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.2,location,Central_valley_USA,modelling,0.35,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.1,location,Central_valley_USA,modelling,0.2,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.0,location,Central_valley_USA,modelling,0.0,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.4,location,Punjab_Pak,modelling,0.7,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.2,location,Punjab_Pak,modelling,0.3,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.1,location,Punjab_Pak,modelling,0.2,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.0,location,Punjab_Pak,modelling,0.0,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.0,location,Punjab_Ind,modelling,0.0,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.1,location,Punjab_Ind,modelling,0.7,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.2,location,Punjab_Ind,modelling,0.9,Castilla_Rho_et_al_2017
Castilla_Rho_et_al_2017,0.4,location,Punjab_Ind,modelling,0.9,Castilla_Rho_et_al_2017
Centola_2018,0.1904761904761904,,,empirical,0.0667,Centola_2018
Centola_2018,0.2777777777777778,,,empirical,1.0,Centola_2018
Centola_2018,0.2068965517241379,,,empirical,0.08,Centola_2018
Centola_2018,0.3076923076923077,,,empirical,1.0,Centola_2018
Centola_2018,0.1923076923076923,,,empirical,0.0526,Centola_2018
Centola_2018,0.2758620689655172,,,empirical,0.6957,Centola_2018
Centola_2018,0.1666666666666666,,,empirical,0.0,Centola_2018
Centola_2018,0.2666666666666666,,,empirical,0.75,Centola_2018
Jin_Yu_2021,0.5063,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.1101,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.564,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.4775,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.054,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.5114,topology,SQL,modelling,1.0,Jin_Yu_2021
Jin_Yu_2021,0.0597,topology,SQL,modelling,1.0,Jin_Yu_2021
