treatment;name of treatment;session;subject;id;period;type;match number;color choice;color choice other;total blue;total green;period profit;lottery choice;nonconformity score;payoff main;payoff lottery;payoff survey;payoff final;sex;age;origin;study field;penalty choice;penalty choice other;poll choice;poll total blue;poll total green
1;TT-43;1;1;10101;1;1;3;1;1;20;0;30;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;2;1;3;1;1;19;1;30;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;3;1;8;1;1;19;1;30;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;4;1;7;1;1;19;1;30;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;5;1;5;1;1;20;0;30;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;6;2;8;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;7;2;3;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;8;2;10;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;9;2;10;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;10;2;9;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;11;2;1;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;12;2;1;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;13;2;6;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;14;2;5;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;15;2;5;1;1;18;2;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;16;2;10;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;17;2;5;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;18;2;5;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;19;2;2;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;20;2;4;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;21;2;4;1;1;20;0;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;22;2;3;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;23;2;6;1;1;19;1;20;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
1;TT-43;1;1;10101;24;2;10;1;2;17;3;8;2;30;29,74;3;3;35,74;0;25;Asian;Computer Science;;;;;
