C,omple,te t,ime series dat,a for established,and alternative conventi,on adoption in 10 trial,s
,,,,,,,
C,entola,", D.",", Becker, J., Br","ackbill, D. and Ba","ronchelli, A. (2018). Expe",rimental Evidence for,Tipping
P,oints i,n So,cial Conventi,on. Science.,,,
,,,,,,,
,trial,N,cm_count,rounds_played,adoption_established,adoption_alternative,adoption_other
,,,,,,,
,1,20,4,0,88.89%,0.00%,11.11%
,,,,,,,
,1,20,4,1,93.75%,0.00%,6.25%
,,,,,,,
,1,20,4,2,93.75%,0.00%,6.25%
,,,,,,,
,1,20,4,3,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,4,93.33%,0.00%,6.67%
,,,,,,,
,1,20,4,5,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,6,93.75%,0.00%,6.25%
,,,,,,,
,1,20,4,7,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,8,93.33%,6.67%,0.00%
,,,,,,,
,1,20,4,9,87.50%,12.50%,0.00%
,,,,,,,
,1,20,4,10,81.25%,18.75%,0.00%
,,,,,,,
,1,20,4,11,92.86%,7.14%,0.00%
,,,,,,,
,1,20,4,12,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,13,81.25%,18.75%,0.00%
,,,,,,,
,1,20,4,14,93.33%,6.67%,0.00%
,,,,,,,
,1,20,4,15,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,16,92.86%,7.14%,0.00%
,,,,,,,
,1,20,4,17,85.71%,7.14%,7.14%
,,,,,,,
,1,20,4,18,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,19,92.86%,7.14%,0.00%
,,,,,,,
,1,20,4,20,87.50%,12.50%,0.00%
,,,,,,,
,1,20,4,21,93.75%,6.25%,0.00%
,,,,,,,
,1,20,4,22,93.33%,6.67%,0.00%
,,,,,,,
,1,20,4,23,87.50%,12.50%,0.00%
,,,,,,,
,1,20,4,24,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,25,92.86%,7.14%,0.00%
,,,,,,,
,1,20,4,26,86.67%,13.33%,0.00%
,,,,,,,
,1,20,4,27,93.75%,6.25%,0.00%
,,,,,,,
,1,20,4,28,93.33%,6.67%,0.00%
,,,,,,,
,1,20,4,29,86.67%,6.67%,6.67%
,,,,,,,
,1,20,4,30,93.33%,6.67%,0.00%
,,,,,,,
,1,20,4,31,93.75%,6.25%,0.00%
,,,,,,,
,1,20,4,32,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,33,86.67%,6.67%,6.67%
,,,,,,,
,1,20,4,34,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,35,100.00%,0.00%,0.00%
,,,,,,,
,1,20,4,36,100.00%,0.00%,0.00%
