#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.600000e-03
1 1.000000e-02
2 1.760000e-02
3 3.120000e-02
4 4.980000e-02
5 7.510000e-02
6 1.058000e-01
7 1.456000e-01
8 1.919000e-01
9 2.398000e-01
10 2.916000e-01
11 3.478000e-01
12 4.054000e-01
13 4.665000e-01
14 5.266000e-01
15 5.793000e-01
16 6.296000e-01
17 6.761000e-01
18 7.171000e-01
19 7.561000e-01
20 7.900000e-01
21 8.205000e-01
22 8.506000e-01
23 8.775000e-01
24 9.006000e-01
25 9.190000e-01
26 9.359000e-01
27 9.495000e-01
28 9.621000e-01
29 9.722000e-01
30 9.801000e-01
31 9.861000e-01
32 9.910000e-01
33 9.958000e-01
34 9.989000e-01
35 9.998000e-01
36 1.000000e+00
