#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#crit-time crit-mass crit-accel
16 4.271000e-01 3.070000e-02
19 5.640000e-01 3.640000e-02
15 5.387000e-01 3.500000e-02
13 4.530000e-01 3.750000e-02
16 4.305000e-01 3.410000e-02
14 4.388000e-01 3.620000e-02
17 5.157000e-01 4.010000e-02
16 5.114000e-01 4.200000e-02
18 5.425000e-01 3.400000e-02
14 5.063000e-01 3.360000e-02
18 4.775000e-01 4.210000e-02
14 5.635000e-01 3.830000e-02
13 4.057000e-01 3.380000e-02
16 5.126000e-01 3.630000e-02
14 4.595000e-01 3.910000e-02
15 4.825000e-01 4.100000e-02
16 4.907000e-01 4.340000e-02
18 5.050000e-01 4.260000e-02
16 4.743000e-01 3.130000e-02
18 5.200000e-01 4.210000e-02
