#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#crit-time crit-mass crit-accel
10 2.992000e-01 1.070000e-02
11 3.665000e-01 9.900000e-03
8 2.902000e-01 1.480000e-02
10 3.041000e-01 1.190000e-02
5 8.920000e-02 1.160000e-02
6 1.049000e-01 1.130000e-02
12 5.071000e-01 1.210000e-02
8 1.861000e-01 1.190000e-02
12 4.381000e-01 1.180000e-02
12 4.084000e-01 1.060000e-02
7 2.028000e-01 1.600000e-02
9 2.472000e-01 1.160000e-02
8 1.904000e-01 1.160000e-02
9 2.077000e-01 1.350000e-02
8 2.660000e-01 1.270000e-02
10 2.609000e-01 1.100000e-02
7 1.591000e-01 1.060000e-02
7 2.049000e-01 1.410000e-02
10 3.322000e-01 1.080000e-02
10 3.239000e-01 1.450000e-02
