d_0=0.01,d_0=0.02,d_0=0.05,d_0=0.1,timestep
0,0,0,0,0
0.01,0.02,0.05,0.1,1
0.013564,0.026663987,0.067096421,0.130499751,2
0.01832613,0.03533192,0.089047291,0.167866596,3
0.024641377,0.046494472,0.11685956,0.212618774,4
0.032944762,0.060725252,0.151608243,0.264467566,5
0.043762125,0.078694349,0.194209258,0.321705206,6
0.057724902,0.101184949,0.244846094,0.38119444,7
0.0755917,0.129096577,0.302117547,0.439494783,8
0.098273359,0.163388797,0.362721619,0.494218863,9
0.126839144,0.204871822,0.422664791,0.544355516,10
0.162438356,0.253729102,0.479081928,0.589783481,11
0.206000445,0.308831328,0.530768154,0.630765068,12
0.257559419,0.367418944,0.577576138,0.667677246,13
0.315383884,0.4259288,0.619787594,0.70090642,14
0.375890594,0.481509089,0.657800869,0.730814949,15
0.435139703,0.532734405,0.692018796,0.757733237,16
0.490556076,0.579264799,0.722816434,0.781959858,17
0.541177142,0.621280044,0.750534676,0.803763858,18
0.586968793,0.659135433,0.775481182,0.823387468,19
0.628247812,0.693217307,0.797933058,0.841048721,20
0.66541687,0.723894344,0.818139751,0.856943848,21
0.698873656,0.751504585,0.836325775,0.871249463,22
0.728985922,0.776354043,0.852693198,0.884124517,23
0.756087242,0.798718617,0.867423878,0.895712065,24
0.780478498,0.81884675,0.88068149,0.906140859,25
0.802430643,0.836962074,0.892613341,0.915526773,26
0.822187578,0.853265866,0.903352007,0.923974096,27
0.83996882,0.867939279,0.913016806,0.931576686,28
0.855971938,0.881145351,0.921715126,0.938419017,29
0.870374744,0.893030816,0.929543613,0.944577116,30
0.88333727,0.903727735,0.936589252,0.950119404,31
