x,y,var,,,,,
4.00,0.01,bringbackourgirls,,,,,
6.01,0.03,bringbackourgirls,,,,,
7.91,0.03,bringbackourgirls,,,,,
9.80,0.04,bringbackourgirls,,,,,
11.93,0.05,bringbackourgirls,,,,,
13.89,0.06,bringbackourgirls,,,,,
15.90,0.06,bringbackourgirls,,,,,
18.09,0.07,bringbackourgirls,,,,,
19.93,0.08,bringbackourgirls,,,,,
21.89,0.08,bringbackourgirls,,,,,
23.96,0.09,bringbackourgirls,,,,,
25.32,0.11,bringbackourgirls,,,,,
26.56,0.12,bringbackourgirls,,,,,
27.98,0.14,bringbackourgirls,,,,,
28.75,0.17,bringbackourgirls,,,,,
29.51,0.21,bringbackourgirls,,,,,
30.57,0.25,bringbackourgirls,,,,,
31.28,0.28,bringbackourgirls,,,,,
31.87,0.30,bringbackourgirls,,,,,
32.93,0.34,bringbackourgirls,,,,,
34.00,0.36,bringbackourgirls,,,,,
34.88,0.39,bringbackourgirls,,,,,
35.83,0.42,bringbackourgirls,,,,,
37.31,0.44,bringbackourgirls,,,,,
38.55,0.45,bringbackourgirls,,,,,
39.85,0.47,bringbackourgirls,,,,,
41.45,0.49,bringbackourgirls,,,,,
42.93,0.51,bringbackourgirls,,,,,
43.93,0.52,bringbackourgirls,,,,,
46.12,0.55,bringbackourgirls,,,,,
47.84,0.57,bringbackourgirls,,,,,
50.08,0.61,bringbackourgirls,,,,,
51.86,0.64,bringbackourgirls,,,,,
53.81,0.67,bringbackourgirls,,,,,
55.76,0.70,bringbackourgirls,,,,,
57.77,0.73,bringbackourgirls,,,,,
59.78,0.76,bringbackourgirls,,,,,
61.79,0.79,bringbackourgirls,,,,,
63.92,0.83,bringbackourgirls,,,,,
65.81,0.85,bringbackourgirls,,,,,
67.77,0.87,bringbackourgirls,,,,,
70.67,0.91,bringbackourgirls,,,,,
72.97,0.93,bringbackourgirls,,,,,
74.99,0.95,bringbackourgirls,,,,,
77.41,0.97,bringbackourgirls,,,,,
79.66,0.98,bringbackourgirls,,,,,
81.62,0.98,bringbackourgirls,,,,,
82.68,0.99,bringbackourgirls,,,,,
0.00," 0,13878897659140654",nigerianschoolgirls,,,,,
6.00," 0,1889036230400314",nigerianschoolgirls,,,,,
12.00," 0,23683060276335022",nigerianschoolgirls,,,,,
16.00," 0,2749578114681054",nigerianschoolgirls,,,,,
20.00," 0,2978266547081062",nigerianschoolgirls,,,,,
22.00," 0,3524142256880257",nigerianschoolgirls,,,,,
24.00," 0,4048125034246278",nigerianschoolgirls,,,,,
27.00," 0,46267588167946627",nigerianschoolgirls,,,,,
30.00," 0,5303569226509937",nigerianschoolgirls,,,,,
33.00," 0,5958535499332378",nigerianschoolgirls,,,,,
36.00," 0,6580792494945971",nigerianschoolgirls,,,,,
38.00," 0,7093926397176088",nigerianschoolgirls,,,,,
40.00," 0,7421393268407195",nigerianschoolgirls,,,,,
43.00," 0,7649886518645838",nigerianschoolgirls,,,,,
47.00," 0,7878363503704365",nigerianschoolgirls,,,,,
51.00," 0,8106791693222553",nigerianschoolgirls,,,,,
56.00," 0,835701522409323",nigerianschoolgirls,,,,,
59.00," 0,8585492209151759",nigerianschoolgirls,,,,,
63.00," 0,8781341242902008",nigerianschoolgirls,,,,,
67.00," 0,8998709109942812",nigerianschoolgirls,,,,,
70.00," 0,9150886135087511",nigerianschoolgirls,,,,,
74.00," 0,9346735168837761",nigerianschoolgirls,,,,,
77.00," 0,9498863398442119",nigerianschoolgirls,,,,,
80.00," 0,9651138014667501",nigerianschoolgirls,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
